max_number,min_number,average_number,max_length,min_length,average_length,time,fee,sender
114842480084047,0,10937521333473,88,2,14,1701554676,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114842480084047,0,13511353017265,88,2,14,1701554671,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
114842480091047,0,5479480172212,88,2,15,1701554671,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114842480098047,0,5479479410260,88,2,15,1701554647,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114846480005047,0,10938050732976,88,2,14,1701554644,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114846480012047,0,5613346288464,88,2,15,1701554633,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114846480019047,0,5352277327298,88,2,15,1701554627,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114851176320734,0,10938299610624,88,2,14,1701554608,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114851176320734,0,13512376512738,88,2,14,1701554568,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
114851176320734,0,13512376535679,88,2,14,1701554567,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
114851176327734,0,5479916916415,87,2,15,1701554561,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114851176327734,0,13512376568266,88,2,14,1701554557,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
114851176327734,0,13512376583559,88,2,14,1701554551,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
114852441456897,0,10938420620917,88,2,14,1701554541,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114852443505177,0,2740006171519,88,1,14,1701554539,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114853130902695,0,10938485951277,88,2,14,1701554518,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114853132950975,0,2773035310572,88,1,14,1701554515,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114853132957975,0,5480028605919,87,2,15,1701554513,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114864370989596,0,10939560621269,88,2,14,1701554509,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114864370989596,0,13513929182589,88,2,14,1701554480,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
114864370996596,0,5353068272012,87,2,15,1701554456,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114867370903596,0,10939850676149,88,2,14,1701554445,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114867370910596,0,5353210128476,88,2,15,1701554445,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
114867370910596,0,13514282519163,88,2,14,1701554402,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
